DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),862.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (memory cycles)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
705,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
710,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
715,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
720,3,"C35, C36, C37",4094.5,99.96%,1.5,NO,OOM
725,3,"C36, C37, C38",4094.5,99.96%,1.5,NO,OOM
730,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
735,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
740,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
745,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
750,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
755,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
760,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
765,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
770,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
775,3,"C37, C38, C39",4094.5,99.96%,1.5,NO,OOM
780,3,"C38, C39, C40",4094.5,99.96%,1.5,NO,OOM
785,3,"C39, C40, C41",4094.5,99.96%,1.5,NO,OOM
790,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
795,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
800,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
805,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
810,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
815,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
820,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
825,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
830,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
835,3,"C40, C41, C42",4094.5,99.96%,1.5,NO,OOM
840,3,"C41, C42, C43",4094.5,99.96%,1.5,NO,OOM
845,3,"C42, C43, C44",4094.5,99.96%,1.5,NO,OOM
850,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
855,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
860,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
865,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
870,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
875,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
880,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
885,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
890,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
895,3,"C43, C44, C45",4094.5,99.96%,1.5,NO,OOM
900,3,"C44, C45, C46",4094.5,99.96%,1.5,NO,OOM
905,3,"C45, C46, C47",4094.5,99.96%,1.5,NO,OOM
910,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
915,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
920,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
925,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
930,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
935,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
940,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
945,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
950,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
955,3,"C46, C47, C48",4094.5,99.96%,1.5,NO,OOM
960,3,"C47, C48, C49",4094.5,99.96%,1.5,NO,OOM
965,3,"C48, C49, C50",4094.5,99.96%,1.5,NO,OOM
970,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
975,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
980,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
985,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
990,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
995,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
1000,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
1005,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
1010,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
1015,3,"C49, C50, C51",4094.5,99.96%,1.5,NO,OOM
1020,3,"C50, C51, C52",4094.5,99.96%,1.5,NO,OOM
1025,3,"C51, C52, C53",4094.5,99.96%,1.5,NO,OOM
1030,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1035,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1040,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1045,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1050,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1055,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1060,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1065,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1070,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1075,3,"C52, C53, C54",4094.5,99.96%,1.5,NO,OOM
1080,3,"C53, C54, C55",4094.5,99.96%,1.5,NO,OOM
1085,3,"C54, C55, C56",4094.5,99.96%,1.5,NO,OOM
1090,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1095,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1100,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1105,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1110,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1115,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1120,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1125,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1130,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1135,3,"C55, C56, C57",4094.5,99.96%,1.5,NO,OOM
1140,3,"C56, C57, C58",4094.5,99.96%,1.5,NO,OOM
1145,3,"C57, C58, C59",4094.5,99.96%,1.5,NO,OOM
1150,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1155,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1160,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1165,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1170,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1175,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1180,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1185,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1190,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1195,3,"C58, C59, C60",4094.5,99.96%,1.5,NO,OOM
1200,3,"C59, C60, C61",4094.5,99.96%,1.5,NO,OOM
1205,3,"C60, C61, C62",4094.5,99.96%,1.5,NO,OOM
1210,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1215,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1220,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1225,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1230,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1235,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1240,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1245,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1250,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1255,3,"C61, C62, C63",4094.5,99.96%,1.5,NO,OOM
1260,3,"C62, C63, C64",4094.5,99.96%,1.5,NO,OOM
1265,3,"C63, C64, C65",4094.5,99.96%,1.5,NO,OOM
1270,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1275,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1280,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1285,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1290,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1295,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1300,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1305,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1310,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1315,3,"C64, C65, C66",4094.5,99.96%,1.5,NO,OOM
1320,3,"C65, C66, C67",4094.5,99.96%,1.5,NO,OOM
1325,3,"C66, C67, C68",4094.5,99.96%,1.5,NO,OOM
1330,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1335,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1340,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1345,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1350,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1355,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1360,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1365,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1370,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1375,3,"C67, C68, C69",4094.5,99.96%,1.5,NO,OOM
1380,3,"C68, C69, C70",4094.5,99.96%,1.5,NO,OOM
1385,3,"C69, C70, C71",4094.5,99.96%,1.5,NO,OOM
1390,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1395,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1400,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1405,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1410,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1415,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1420,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1425,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1430,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1435,3,"C70, C71, C72",4094.5,99.96%,1.5,NO,OOM
1440,3,"C71, C72, C73",4094.5,99.96%,1.5,NO,OOM
1445,3,"C72, C73, C74",4094.5,99.96%,1.5,NO,OOM
