MEMORY USAGE TIMELINE
Generated from container execution schedule with reset-every-3 memory model
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
605,12,"C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
610,12,"C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
615,12,"C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
620,12,"C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
625,12,"C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
630,12,"C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
635,12,"C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
640,12,"C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
645,12,"C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
650,12,"C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
655,12,"C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
660,12,"C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
665,12,"C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
670,12,"C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
675,12,"C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
680,12,"C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
685,12,"C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
690,12,"C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
695,12,"C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
700,12,"C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
705,12,"C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
710,12,"C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
715,12,"C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
720,12,"C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
725,12,"C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
730,12,"C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
735,12,"C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
740,12,"C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
745,12,"C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
750,12,"C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
755,12,"C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
760,12,"C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
765,12,"C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
770,12,"C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
775,12,"C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
780,12,"C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
785,12,"C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
790,12,"C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
795,12,"C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
800,12,"C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
805,12,"C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
810,12,"C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
815,12,"C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
820,12,"C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
825,12,"C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
830,12,"C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
835,12,"C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
840,12,"C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
845,12,"C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
850,12,"C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
855,12,"C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
860,12,"C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
865,12,"C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
870,12,"C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
875,12,"C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
880,12,"C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
885,12,"C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
890,12,"C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
895,12,"C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
900,12,"C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
905,12,"C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
910,12,"C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
915,12,"C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
920,12,"C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
925,12,"C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
