CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
101,1293.0,60,1773947171.85,1773947235.56,63.70,93.8%,Yes,✓ Completed,31.6%
102,1939.5,60,1773947176.85,1773947240.59,63.74,93.8%,Yes,✓ Completed,47.4%
103,862.0,60,1773947231.87,1773947295.53,63.66,93.9%,Yes,✓ Completed,21.0%
104,1293.0,60,1773947236.87,1773947300.53,63.65,93.9%,Yes,✓ Completed,31.6%
105,1939.5,60,1773947241.88,1773947305.47,63.59,94.0%,Yes,✓ Completed,47.4%
106,862.0,60,1773947296.90,1773947360.49,63.59,94.0%,Yes,✓ Completed,21.0%
107,1293.0,60,1773947301.90,1773947365.58,63.68,93.9%,Yes,✓ Completed,31.6%
108,1939.5,60,1773947306.91,1773947370.46,63.55,94.1%,Yes,✓ Completed,47.4%
109,862.0,60,1773947361.92,1773947425.47,63.55,94.1%,Yes,✓ Completed,21.0%
110,1293.0,60,1773947366.92,1773947430.50,63.58,94.0%,Yes,✓ Completed,31.6%
111,1939.5,60,1773947371.93,1773947435.38,63.46,94.2%,Yes,✓ Completed,47.4%
112,862.0,60,1773947426.95,1773947490.54,63.60,94.0%,Yes,✓ Completed,21.0%
113,1293.0,60,1773947431.95,1773947495.55,63.60,94.0%,Yes,✓ Completed,31.6%
114,1939.5,60,1773947436.95,1773947500.59,63.64,93.9%,Yes,✓ Completed,47.4%
115,862.0,60,1773947491.97,1773947555.52,63.55,94.1%,Yes,✓ Completed,21.0%
116,1293.0,60,1773947496.97,1773947560.55,63.58,94.0%,Yes,✓ Completed,31.6%
117,1939.5,60,1773947501.97,1773947565.42,63.45,94.2%,Yes,✓ Completed,47.4%
118,862.0,60,1773947556.99,1773947620.52,63.53,94.1%,Yes,✓ Completed,21.0%
119,1293.0,60,1773947561.99,1773947625.56,63.57,94.1%,Yes,✓ Completed,31.6%
120,1939.5,60,1773947566.99,1773947630.63,63.64,93.9%,Yes,✓ Completed,47.4%
121,862.0,60,1773947622.00,1773947685.57,63.57,94.0%,Yes,✓ Completed,21.0%
122,1293.0,60,1773947627.01,1773947690.60,63.59,94.0%,Yes,✓ Completed,31.6%
123,1939.5,60,1773947632.01,1773947695.60,63.59,94.0%,Yes,✓ Completed,47.4%
124,862.0,60,1773947687.03,1773947750.58,63.56,94.1%,Yes,✓ Completed,21.0%
125,1293.0,60,1773947692.03,1773947755.58,63.55,94.1%,Yes,✓ Completed,31.6%
126,1939.5,60,1773947697.03,1773947760.54,63.51,94.2%,Yes,✓ Completed,47.4%
127,862.0,60,1773947752.04,1773947815.49,63.45,94.2%,Yes,✓ Completed,21.0%
128,1293.0,60,1773947757.05,1773947820.62,63.57,94.0%,Yes,✓ Completed,31.6%
129,1939.5,60,1773947762.05,1773947825.47,63.43,94.3%,Yes,✓ Completed,47.4%
130,862.0,60,1773947817.06,1773947880.65,63.58,94.0%,Yes,✓ Completed,21.0%
131,1293.0,60,1773947822.06,1773947885.52,63.45,94.2%,Yes,✓ Completed,31.6%
132,1939.5,60,1773947827.07,1773947890.63,63.56,94.1%,Yes,✓ Completed,47.4%
133,862.0,60,1773947882.08,1773947945.68,63.60,94.0%,Yes,✓ Completed,21.0%
134,1293.0,60,1773947887.08,1773947950.70,63.62,94.0%,Yes,✓ Completed,31.6%
135,1939.5,60,1773947892.08,1773947955.72,63.63,93.9%,Yes,✓ Completed,47.4%
136,862.0,60,1773947947.09,1773948010.60,63.51,94.2%,Yes,✓ Completed,21.0%
137,1293.0,60,1773947952.10,1773948015.68,63.58,94.0%,Yes,✓ Completed,31.6%
138,1939.5,60,1773947957.10,1773948020.56,63.46,94.2%,Yes,✓ Completed,47.4%
139,862.0,60,1773948012.11,1773948075.73,63.61,94.0%,Yes,✓ Completed,21.0%
140,1293.0,60,1773948017.12,1773948080.67,63.55,94.1%,Yes,✓ Completed,31.6%
141,1939.5,60,1773948022.12,1773948085.69,63.57,94.0%,Yes,✓ Completed,47.4%
142,862.0,60,1773948077.13,1773948140.79,63.66,93.9%,Yes,✓ Completed,21.0%
143,1293.0,60,1773948082.14,1773948145.82,63.68,93.9%,Yes,✓ Completed,31.6%
144,1939.5,60,1773948087.14,1773948150.64,63.50,94.2%,Yes,✓ Completed,47.4%
145,862.0,60,1773948142.17,1773948205.88,63.71,93.8%,Yes,✓ Completed,21.0%
146,1293.0,60,1773948147.17,1773948210.75,63.58,94.0%,Yes,✓ Completed,31.6%
147,1939.5,60,1773948152.17,1773948215.86,63.69,93.9%,Yes,✓ Completed,47.4%
148,862.0,60,1773948207.20,1773948270.80,63.61,94.0%,Yes,✓ Completed,21.0%
149,1293.0,60,1773948212.20,1773948275.73,63.53,94.1%,Yes,✓ Completed,31.6%
150,1939.5,60,1773948217.20,1773948280.81,63.60,94.0%,Yes,✓ Completed,47.4%
151,862.0,60,1773948272.23,1773948335.81,63.59,94.0%,Yes,✓ Completed,21.0%
152,1293.0,60,1773948277.23,1773948340.79,63.56,94.1%,Yes,✓ Completed,31.6%
153,1939.5,60,1773948282.23,1773948345.65,63.42,94.3%,Yes,✓ Completed,47.4%
154,862.0,60,1773948337.24,1773948400.69,63.45,94.3%,Yes,✓ Completed,21.0%
155,1293.0,60,1773948342.24,1773948405.73,63.49,94.2%,Yes,✓ Completed,31.6%
156,1939.5,60,1773948347.24,1773948410.66,63.42,94.3%,Yes,✓ Completed,47.4%
157,862.0,60,1773948402.25,1773948465.74,63.49,94.2%,Yes,✓ Completed,21.0%
158,1293.0,60,1773948407.25,1773948470.67,63.42,94.3%,Yes,✓ Completed,31.6%
159,1939.5,60,1773948412.25,1773948475.79,63.53,94.1%,Yes,✓ Completed,47.4%
160,862.0,60,1773948467.26,1773948530.83,63.57,94.0%,Yes,✓ Completed,21.0%
161,1293.0,60,1773948472.26,1773948535.87,63.61,94.0%,Yes,✓ Completed,31.6%
162,1939.5,60,1773948477.27,1773948540.70,63.43,94.3%,Yes,✓ Completed,47.4%
163,862.0,60,1773948532.28,1773948595.80,63.52,94.1%,Yes,✓ Completed,21.0%
164,1293.0,60,1773948537.29,1773948600.74,63.46,94.2%,Yes,✓ Completed,31.6%
165,1939.5,60,1773948542.29,1773948605.72,63.43,94.3%,Yes,✓ Completed,47.4%
166,862.0,60,1773948597.30,N/A,0.00,N/A,No,✗ Failed,21.0%
167,1293.0,60,1773948602.30,N/A,0.00,N/A,No,✗ Failed,31.6%
168,1939.5,60,1773948607.30,N/A,0.00,N/A,No,✗ Failed,47.4%

SUMMARY STATISTICS
Metric,Value,Unit
Total Containers Executed,168,count
Successful Containers,165,count
Failed Containers,3,count
Success Rate,98.2,%
Total Memory Used,229292.0,MB
Average Memory per Container,1364.8,MB
Memory Utilization,5597.9,%
