CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
106,RUNNING,1773938891.61,0.00,862.0,SUCCESS,Active execution on GPU
107,RUNNING,1773938896.62,0.00,1293.0,SUCCESS,Active execution on GPU
108,RUNNING,1773938901.62,0.00,1939.5,SUCCESS,Active execution on GPU
109,RUNNING,1773938956.64,0.00,862.0,SUCCESS,Active execution on GPU
110,RUNNING,1773938961.65,0.00,1293.0,SUCCESS,Active execution on GPU
111,RUNNING,1773938966.65,0.00,1939.5,SUCCESS,Active execution on GPU
112,RUNNING,1773939021.67,0.00,862.0,SUCCESS,Active execution on GPU
113,RUNNING,1773939026.67,0.00,1293.0,SUCCESS,Active execution on GPU
114,RUNNING,1773939031.68,0.00,1939.5,SUCCESS,Active execution on GPU
115,RUNNING,1773939086.69,0.00,862.0,SUCCESS,Active execution on GPU
116,RUNNING,1773939091.70,0.00,1293.0,SUCCESS,Active execution on GPU
117,RUNNING,1773939096.70,0.00,1939.5,SUCCESS,Active execution on GPU
118,RUNNING,1773939151.72,0.00,862.0,SUCCESS,Active execution on GPU
119,RUNNING,1773939156.72,0.00,1293.0,SUCCESS,Active execution on GPU
120,RUNNING,1773939161.72,0.00,1939.5,SUCCESS,Active execution on GPU
